Branch Name,Latitude,Longitude,Polygons
Kharian ,null,null,"[73.8736315,32.7996013, 73.8731595,32.7986994, 73.8750477,32.7962464, 73.8812275,32.7887064, 73.8910981,32.7769443, 73.8884802,32.7739133, 73.8909693,32.7723978, 73.8924284,32.7751041, 73.8962908,32.769944, 73.8991232,32.7662271, 73.9030715,32.762041, 73.9003249,32.7619688, 73.903801,32.7565553, 73.9065476,32.758829, 73.907878,32.7574215, 73.9079209,32.7581433, 73.9080067,32.7601643, 73.9086075,32.7616801, 73.9093371,32.7633402, 73.9075346,32.7636649, 73.9070626,32.764098, 73.9079209,32.7648197, 73.9087363,32.7673458, 73.9013978,32.7680676, 73.9014407,32.7712792, 73.9049168,32.7730473, 73.9026423,32.7759701, 73.8998957,32.7774134, 73.8986512,32.7792175, 73.895175,32.7790732, 73.8922997,32.7770526, 73.8904543,32.7794701, 73.8926859,32.7813102, 73.8924714,32.7840162, 73.8893385,32.7851347, 73.8861199,32.7847739, 73.8828154,32.7887786, 73.8856907,32.7904742, 73.8857766,32.791773, 73.8839312,32.7937572, 73.8853474,32.7945509, 73.886549,32.7942262, 73.887579,32.7945869, 73.8892098,32.7937211, 73.8895531,32.7948755, 73.8948746,32.7948034, 73.8948317,32.7927471, 73.8994236,32.7925667, 73.8996811,32.798988, 73.9010973,32.7990241, 73.9014407,32.8042546, 73.9034577,32.8043268, 73.9035864,32.8061303, 73.9082642,32.805986, 73.9092083,32.8075731, 73.9095088,32.8083667, 73.9107533,32.8102783, 73.9054747,32.8103866, 73.9067622,32.8168787, 73.9050456,32.82539, 73.9050456,32.8284192, 73.9043589,32.8293568, 73.9022561,32.8303665, 73.9015265,32.8310877, 73.9019986,32.8318811, 73.9016982,32.832422, 73.9004965,32.8324941, 73.8996811,32.8335398, 73.8939734,32.8337201, 73.8939305,32.8324941, 73.8922139,32.8325662, 73.8922568,32.8363164, 73.8856907,32.8365688, 73.8835879,32.8354149, 73.8836737,32.8297896, 73.8859482,32.8289241, 73.8858195,32.8235868, 73.8823863,32.8235868, 73.8787385,32.8228656, 73.876936,32.822577, 73.8774081,32.8192591, 73.8773222,32.8123703, 73.8745327,32.8130196, 73.8743611,32.8135606, 73.8745327,32.8144983, 73.8728591,32.8146787, 73.8699408,32.8139212, 73.8695975,32.8143901, 73.8674946,32.8154, 73.8667222,32.8153279, 73.8649197,32.8161935, 73.863761,32.8166623, 73.8629456,32.8184656, 73.862554,32.8202035, 73.8617762,32.8202463, 73.8610359,32.8205844, 73.8603707,32.8209361, 73.859904,32.8219818, 73.8587507,32.8235866, 73.8578173,32.8241636, 73.8573238,32.8243801, 73.8568087,32.8263276, 73.8544913,32.8255703, 73.851573,32.8255703, 73.8498993,32.8248851, 73.8487835,32.8266882, 73.8469811,32.8276259, 73.8440199,32.828311, 73.8438912,32.8278422, 73.8449212,32.8249212, 73.8467236,32.8221803, 73.8498135,32.819764, 73.8520022,32.8188263, 73.8539334,32.8178886, 73.8552638,32.8163738, 73.8561221,32.8146065, 73.8553925,32.813777, 73.8555642,32.8120457, 73.8552208,32.8112161, 73.854148,32.8090881, 73.8534613,32.8074289, 73.8568945,32.8078617, 73.85462,32.80595, 73.8538905,32.8055532, 73.8523026,32.8035332, 73.8565083,32.8006835, 73.8701983,32.7972925, 73.8722582,32.798952, 73.8736315,32.7996013]"
KFC Abbottabad,34.1903639,73.2342196,null
KFC Abbottabad,null,null,"[73.2222747,34.1912799, 73.2226517,34.1909044, 73.2233169,34.1912949, 73.2249906,34.1915611, 73.2250764,34.1907624, 73.226042,34.1907447, 73.227823,34.19023, 73.2277372,34.1892182, 73.2283594,34.1891827, 73.2290246,34.189449, 73.2299044,34.1889343, 73.2301652,34.1878869, 73.2280409,34.1864491, 73.2279336,34.1846741, 73.2276976,34.1844966, 73.2268178,34.1829878, 73.2275903,34.1821002, 73.2266891,34.1808754, 73.2275021,34.1794337, 73.22644,34.1782266, 73.2253349,34.1785816, 73.2249701,34.1759188, 73.2244122,34.1750667, 73.2237899,34.173469, 73.2235968,34.1724748, 73.2232535,34.171818, 73.2231462,34.1711433, 73.222996,34.1702202, 73.222996,34.1679477, 73.2242405,34.1676281, 73.2193911,34.1558031, 73.2288754,34.1518611, 73.2318366,34.1559096, 73.2322228,34.1569395, 73.245827,34.1578983, 73.2447541,34.1591768, 73.2429516,34.1596029, 73.2417071,34.1603842, 73.2403338,34.1612364, 73.2403767,34.1623017, 73.2398188,34.1629054, 73.2411063,34.1637932, 73.2411921,34.1642903, 73.2440245,34.1655331, 73.2456124,34.1664208, 73.244797,34.1682317, 73.2429087,34.1696876, 73.2435954,34.1706462, 73.2444966,34.1716759, 73.2450974,34.17196, 73.2462132,34.1720665, 73.2456124,34.1736288, 73.2466853,34.1734157, 73.2485735,34.1745519, 73.2535303,34.1764514, 73.2518566,34.1782621, 73.2508738,34.178882, 73.2520861,34.1796631, 73.2528479,34.1802489, 73.2535023,34.180382, 73.2541997,34.180808, 73.2557018,34.1820684, 73.2568163,34.1827342, 73.2602495,34.1839768, 73.2638115,34.1863553, 73.2651847,34.1861423, 73.2667726,34.1875978, 73.2684034,34.1891243, 73.2705062,34.1905088, 73.2677597,34.1932421, 73.2669443,34.1930291, 73.2656568,34.1928871, 73.2639402,34.1939165, 73.2628244,34.194236, 73.2619661,34.1935261, 73.2592624,34.1930291, 73.2587045,34.1937391, 73.2573742,34.1934551, 73.2567733,34.1924257, 73.2561296,34.1918577, 73.2564515,34.1912897, 73.2512373,34.1884321, 73.2509154,34.1904378, 73.250034,34.1909879, 73.2474162,34.1908459, 73.246236,34.1902957, 73.2440259,34.1887692, 73.2427384,34.1898164, 73.2441761,34.1910056, 73.2443057,34.191821, 73.2445203,34.1961162, 73.2472454,34.1961694, 73.247932,34.1963647, 73.2479535,34.1980152, 73.2473312,34.1986364, 73.2464514,34.1986186, 73.2459364,34.1989381, 73.2463441,34.199577, 73.2466875,34.2000384, 73.2474814,34.2011032, 73.2482324,34.202381, 73.2491122,34.2040669, 73.2494984,34.2043686, 73.2494984,34.2051849, 73.2495199,34.2061255, 73.2495509,34.2066585, 73.2499157,34.2072441, 73.2496796,34.2078297, 73.2489501,34.2083266, 73.2481776,34.2097285, 73.2502049,34.2105004, 73.2504088,34.2110682, 73.2507199,34.2114941, 73.2483059,34.2118667, 73.2486239,34.212505, 73.2465211,34.2145367, 73.2459954,34.2151577, 73.2453846,34.2160539, 73.2449769,34.2165685, 73.2443975,34.2170476, 73.2446979,34.2183783, 73.2460927,34.2181832, 73.246672,34.2183429, 73.2476591,34.2188042, 73.2485603,34.2184848, 73.248968,34.2189106, 73.2492684,34.2187509, 73.2503198,34.2185025, 73.2510494,34.2189284, 73.2500409,34.2199043, 73.2493542,34.2214479, 73.2486891,34.2222729, 73.2451164,34.2224858, 73.2441186,34.2221931, 73.2435607,34.2246415, 73.2441615,34.225848, 73.2458352,34.2254222, 73.2464789,34.2265576, 73.2483243,34.2267705, 73.2491397,34.2281898, 73.2482814,34.2297156, 73.2472085,34.2308155, 73.2426594,34.2287398, 73.2425736,34.2265221, 73.2411574,34.2270898, 73.2399557,34.2260253, 73.2385825,34.2253867, 73.2349776,34.2242867, 73.2350634,34.2205962, 73.2333039,34.2190348, 73.2349347,34.2154506, 73.2373809,34.2142085, 73.2321023,34.2122567, 73.2275103,34.2121147, 73.2251929,34.2114049, 73.2218026,34.2101983, 73.2215451,34.2068976, 73.2192706,34.2048391, 73.2203864,34.2037033, 73.2221459,34.2031709, 73.2245492,34.202816, 73.225665,34.2017867, 73.2254504,34.200083, 73.2219743,34.1999055, 73.2212018,34.1993376, 73.2209014,34.1978113, 73.2214164,34.1973853, 73.2237767,34.1972434, 73.2245063,34.196427, 73.2228326,34.1954686, 73.2231759,34.1946876, 73.2231759,34.1935872, 73.2222747,34.1912799]"
KFC Bahria Lahore - 2,31.3737238,74.1856339,null
KFC Bahria Lahore - 2,null,null,"[74.1860603,31.3819071, 74.1856741,31.3824749, 74.1684651,31.3822001, 74.1683578,31.3830611, 74.1667965,31.3827849, 74.1646242,31.3829329, 74.1646508,31.3823819, 74.1621617,31.3823819, 74.1622046,31.3831879, 74.1597155,31.3831879, 74.1585139,31.3821621, 74.1618184,31.3809897, 74.1615609,31.3787547, 74.1616038,31.3776922, 74.1597584,31.3776556, 74.1597584,31.377106, 74.1579989,31.3771426, 74.1580418,31.3741381, 74.1547802,31.3742481, 74.1547373,31.3725259, 74.1563252,31.3724893, 74.157956,31.3724893, 74.1593722,31.3723794, 74.1600588,31.3717565, 74.1608742,31.3715, 74.1611317,31.3676525, 74.1612175,31.3668281, 74.1611746,31.3658753, 74.1611746,31.3645378, 74.1611317,31.3628888, 74.1612605,31.3608733, 74.163535,31.3578317, 74.1698435,31.3573553, 74.1698435,31.355413, 74.1709164,31.3526277, 74.171646,31.34757, 74.1731051,31.3443447, 74.1807011,31.3444913, 74.1853789,31.3440515, 74.1914729,31.3421455, 74.1932324,31.3450044, 74.1897133,31.346837, 74.1877821,31.3466171, 74.1880396,31.3480098, 74.185336,31.3485229, 74.1852501,31.3508685, 74.1855505,31.3525544, 74.1872672,31.3535073, 74.1880396,31.3529575, 74.1877821,31.3521146, 74.1888121,31.3510151, 74.1907004,31.3507952, 74.1907433,31.3517848, 74.1894988,31.3522612, 74.1894129,31.35479, 74.1936186,31.3548999, 74.1935328,31.356659, 74.1876105,31.3568422, 74.1876105,31.359151, 74.1916445,31.3591876, 74.1937474,31.3597373, 74.1938332,31.3616795, 74.1955069,31.3619727, 74.1951636,31.3644645, 74.1965369,31.3664433, 74.1992835,31.3665166, 74.1992835,31.3704007, 74.2024163,31.3705107, 74.2038325,31.3701442, 74.2052487,31.3705107, 74.2036179,31.372416, 74.2043475,31.3734053, 74.2040041,31.3744313, 74.2025021,31.3740649, 74.2023734,31.3764831, 74.2011717,31.3791578, 74.2027596,31.3792677, 74.2027167,31.3813927, 74.2022446,31.3827483, 74.1988543,31.3828948, 74.1987418,31.3822917, 74.1963223,31.382272, 74.1930771,31.3820719, 74.1883992,31.3819986, 74.1860603,31.3819071]"
KFC Wah Cantt,33.7975598,72.7135276,null
KFC Wah Cantt,null,null,"[72.6815583,33.8178859, 72.6850563,33.8163574, 72.6900132,33.8138303, 72.6997544,33.8066362, 72.6975228,33.8054238, 72.6955487,33.8035695, 72.6951195,33.8022857, 72.6939179,33.8021431, 72.6944329,33.8007879, 72.6968361,33.799932, 72.6973511,33.7987909, 72.6965787,33.7976496, 72.6976086,33.7967937, 72.6993252,33.797079, 72.7008702,33.7990762, 72.7010419,33.8002173, 72.7035309,33.8002173, 72.7050759,33.7995754, 72.70705,33.8004313, 72.7093674,33.7995754, 72.7119423,33.797721, 72.7153756,33.7965798, 72.7165772,33.7955812, 72.7120282,33.7923, 72.7102257,33.7923, 72.7071358,33.7909447, 72.7021577,33.7902314, 72.7013852,33.7874494, 72.7037026,33.7844533, 72.7040459,33.7803157, 72.7074792,33.7775334, 72.7114274,33.7766773, 72.7140023,33.7771053, 72.7143456,33.7784608, 72.7106549,33.7805297, 72.7103116,33.7825272, 72.7124573,33.7808864, 72.718208,33.779745, 72.7185513,33.777248, 72.7153756,33.7778901, 72.7137448,33.7753217, 72.7127148,33.7740375, 72.7127148,33.7727533, 72.7134015,33.7708982, 72.7160622,33.7697567, 72.7162339,33.7671167, 72.7197529,33.7659751, 72.7224995,33.7676875, 72.7236153,33.7661178, 72.727306,33.7630496, 72.7315117,33.7610516, 72.7321984,33.7600526, 72.7277352,33.7574124, 72.7253319,33.7589109, 72.7247311,33.7612657, 72.7218987,33.7611943, 72.7184655,33.7601953, 72.7167489,33.7584828, 72.7149464,33.7557711, 72.7146031,33.7532021, 72.7177788,33.7505616, 72.7147748,33.7496338, 72.7127148,33.7504189, 72.7093674,33.7497766, 72.7102257,33.7474215, 72.7145173,33.7459227, 72.7134015,33.7412123, 72.7108266,33.7399275, 72.712114,33.7375008, 72.7443434,33.7461012, 72.7523255,33.7472435, 72.7580761,33.7478145, 72.772217,33.7478853, 72.7733327,33.7479392, 72.7781928,33.7473415, 72.7853276,33.7492056, 72.786143,33.7504189, 72.7857782,33.7518105, 72.7859713,33.7523457, 72.7848555,33.7527382, 72.7847697,33.7544509, 72.7849842,33.7548523, 72.7852096,33.7557176, 72.7852096,33.7570734, 72.7851345,33.7577335, 72.7832247,33.7607305, 72.7816798,33.7620863, 72.7783324,33.7631566, 72.7785899,33.7666529, 72.7761866,33.7687934, 72.7737834,33.7687221, 72.773955,33.7719328, 72.7720667,33.7721468, 72.7720667,33.7740732, 72.7677752,33.7745726, 72.7637412,33.772789, 72.7544715,33.7826342, 72.7619387,33.7894824, 72.7585913,33.7920504, 72.7588488,33.7949036, 72.7552439,33.7956168, 72.7589347,33.7989692, 72.7552439,33.8008236, 72.7570464,33.8014655, 72.7579905,33.8028919, 72.7579047,33.8055308, 72.7550723,33.8085975, 72.7511241,33.8114501, 72.7493216,33.8125198, 72.7464892,33.810523, 72.7377345,33.8209344, 72.7295806,33.8378324, 72.7265765,33.8336973, 72.7227141,33.8316297, 72.7223708,33.8303463, 72.7215125,33.8296333, 72.7200533,33.8275656, 72.7189376,33.8267813, 72.7021147,33.8249988, 72.701986,33.8268883, 72.6915576,33.8267457, 72.6869227,33.82671, 72.6736474,33.82729, 72.6690408,33.8286536, 72.669183,33.8301688, 72.6674931,33.8312739, 72.6654009,33.8306321, 72.6632764,33.8300611, 72.6567961,33.8267814, 72.6588349,33.8257659, 72.6590388,33.824866, 72.6664391,33.8227871, 72.6640974,33.8203872, 72.671122,33.8194311, 72.6727352,33.8183555, 72.6725461,33.8171372, 72.6765586,33.8166292, 72.6790263,33.8179216, 72.6815583,33.8178859]"
KFC Kala Shah Kaku,31.7427998,74.2643051,null
KFC Kala Shah Kaku,null,null,"[74.2568758,31.7874052, 74.2561892,31.7907611, 74.2537859,31.7906517, 74.251211,31.790907, 74.2486361,31.7902869, 74.248164,31.7887184, 74.2496661,31.7870769, 74.2519835,31.786785, 74.2512968,31.7845963, 74.2515543,31.7828453, 74.2483786,31.7827358, 74.2482928,31.7790512, 74.2506531,31.7779568, 74.2529276,31.7776649, 74.2532709,31.7789053, 74.2543438,31.7783581, 74.2564896,31.7782851, 74.2579487,31.7786499, 74.2582062,31.7768623, 74.2592791,31.7699668, 74.2554167,31.7698939, 74.2553738,31.7674858, 74.2552021,31.7658804, 74.2543438,31.7655885, 74.2543438,31.7632898, 74.2555455,31.7632533, 74.25576,31.760991, 74.2579058,31.7608086, 74.2581633,31.7596044, 74.2564467,31.7594585, 74.2565754,31.7572691, 74.2495802,31.7572326, 74.2486361,31.7566852, 74.2485932,31.7544958, 74.2485932,31.7512845, 74.2472628,31.7511385, 74.2471341,31.7476352, 74.2483357,31.7467958, 74.252241,31.7467593, 74.2524126,31.74873, 74.253228,31.748657, 74.2543438,31.7504087, 74.2558459,31.751467, 74.2577341,31.7517589, 74.2597512,31.7505911, 74.2601803,31.7492774, 74.2597941,31.7482556, 74.2602232,31.7473797, 74.2584637,31.7473797, 74.2585495,31.7445696, 74.2576912,31.7445696, 74.2572621,31.7429273, 74.254773,31.7426353, 74.2548588,31.7394236, 74.2568758,31.7392411, 74.2569188,31.7371608, 74.2584208,31.7371608, 74.2582491,31.7359198, 74.259837,31.7360658, 74.2594508,31.7351168, 74.2606095,31.7335474, 74.260352,31.7327809, 74.2615965,31.7325984, 74.2616394,31.7318684, 74.2601374,31.7315399, 74.2598799,31.7304813, 74.2627982,31.7304813, 74.2627552,31.7285833, 74.2627123,31.7255901, 74.2598799,31.7252251, 74.2589787,31.7226333, 74.2570475,31.7225238, 74.256275,31.7206986, 74.2563179,31.7183258, 74.2601374,31.7179607, 74.2606524,31.720005, 74.2661456,31.720151, 74.2662314,31.7108783, 74.265931,31.707775, 74.2644719,31.7055479, 74.2596224,31.7011665, 74.2483786,31.7011665, 74.2408255,31.7012396, 74.2406538,31.6948862, 74.2364481,31.6947036, 74.2364052,31.6879481, 74.2448595,31.6902122, 74.2515114,31.6925492, 74.2519406,31.6934256, 74.2522839,31.6922571, 74.2731408,31.6984281, 74.2747286,31.6915268, 74.2718533,31.6905773, 74.2673043,31.6894453, 74.2684201,31.6834198, 74.2700079,31.6816303, 74.2732695,31.6812286, 74.2769173,31.6821051, 74.2761877,31.6851727, 74.2812088,31.6858301, 74.2800072,31.6876925, 74.2793206,31.6915633, 74.2786339,31.6944845, 74.2744282,31.6940463, 74.2724541,31.7036128, 74.2703083,31.7144926, 74.2745999,31.7148577, 74.2738274,31.7196765, 74.2730549,31.7317954, 74.2697075,31.7297513, 74.2670468,31.7297513, 74.2662314,31.7333101, 74.2692784,31.7336751, 74.2707804,31.7354271, 74.2683772,31.7365585, 74.2658451,31.7356096, 74.2649868,31.7400258, 74.2681197,31.7405733, 74.265931,31.743712, 74.2641285,31.7438214, 74.2631844,31.7485293, 74.262369,31.7544046, 74.2657593,31.7549884, 74.2661456,31.7564481, 74.2654589,31.7587105, 74.2624977,31.7583456, 74.2618111,31.7569589, 74.2613819,31.7594402, 74.2607382,31.7637824, 74.2600087,31.7668108, 74.2645148,31.7672122, 74.2658451,31.7660446, 74.2699221,31.7659716, 74.2698792,31.7680513, 74.2675188,31.7681973, 74.2676047,31.7698756, 74.2698792,31.7699851, 74.2698792,31.7733417, 74.2663172,31.7733417, 74.2662743,31.772685, 74.2636994,31.772685, 74.2639998,31.7689635, 74.2618969,31.7687811, 74.2619398,31.7673216, 74.2601803,31.7674676, 74.2587212,31.7758226, 74.2618969,31.775859, 74.2616824,31.7773548, 74.2584208,31.7772089, 74.2584208,31.7780845, 74.2621544,31.7783763, 74.2616824,31.7807476, 74.2581633,31.7803463, 74.2572192,31.785563, 74.2601374,31.7858183, 74.260073,31.7876423, 74.2568758,31.7874052]"
Link road ,null,null,"[74.3135013,31.4654055, 74.3177461,31.4639574, 74.3207749,31.4656074, 74.3242478,31.4671969, 74.3239045,31.4680571, 74.3253636,31.4699239, 74.3277025,31.4687892, 74.3317366,31.4703448, 74.3330026,31.4681211, 74.332552,31.4647261, 74.3355131,31.4651654, 74.3377662,31.4650556, 74.3372314,31.468388, 74.3384099,31.4692468, 74.3394431,31.4693777, 74.3425083,31.4692834, 74.343152,31.4689722, 74.3451066,31.4716179, 74.3441429,31.4742635, 74.3417396,31.4795339, 74.3406649,31.4814269, 74.3382169,31.4828806, 74.3367148,31.488736, 74.3345954,31.4929224, 74.3324554,31.4957439, 74.3322059,31.495227, 74.3317848,31.4947101, 74.3303914,31.4918031, 74.3288397,31.4889922, 74.3273913,31.4894678, 74.3243692,31.4891351, 74.3215656,31.4877845, 74.3212438,31.4871989, 74.3209594,31.4867507, 74.3132749,31.4897653, 74.312528,31.4881743, 74.3162011,31.4813501, 74.3188511,31.4757298, 74.3145918,31.474561, 74.3101823,31.473328, 74.3102253,31.4724129, 74.3131328,31.4713148, 74.3120492,31.4658791, 74.3135013,31.4654055]"
